BIL_ID|MENU_NAME|REM|MF_TABLE|TF_TABLE|MENUID|MOD_NAME|BIL_TYPE
BP|InvBMA|补收发票作业[已立帐]|MF_BIL|TF_BIL|TBFB|INV|PC
BQ|DRPBQ|箱条码打印-子项管理|PRDT_BARCODE_BOX|PRDT_BARBOX_SUB||INV|
BR|InvKBB|序列号变更单|MF_BAR|TF_BAR|TKBB|INV|PC
BS|MrpAX|订单配方|MF_BOM_SO|TF_BOM_SO|WTE|MRP|
BT|MonDCA|帐户收支|MF_BAC|TF_BAC|UDBA|MON|BX
BV|WagAT|保險調整計算作業|MF_JB_CALC|TF_JB_CALC|YASA|WAG|
BW|InvBM|补收发票作业[未立帐]|MF_BIL|TF_BIL|TBFA|INV|PC
BX|MonDA|报销单|MF_BX|TF_BX|UDAA|MON|BX
BZ|MrpKC|装箱单|MF_BZ|TF_BZ|NULL|OTH|
C1|AccDA_IFRS|销货成本切制传票(IFRS)|MF_CB|TF_CB|SLE|ACC|
C2|MrpCutB|钢材板裁切作业|MF_GCB|TF_GCB|WAUB|Mrp|MO
C5|SYSPRST|促销单|PROMO|PROMO1|T|INV|SA
C6|SYSPRST|促销设定|PROMO|PROMO1|T|INV|SA
CA|WagBOA|辞/离职申请单|MF_CZSQ|TF_CZSQ|YBOA|WAG|
CB|AccDA|销货成本切制传票|MF_CB|TF_CB|SDF|ACC|NULL
CC|DRPCC|会员换卡单|||NULL|DRP|NULL
CD||办公物品领用|MF_GUIDE.DB|TF_GUIDE.DB|NULL||
CE|PosFE|收货单|||VFE|POS|
CF|MTNCF|维修成本切制|MF_CB|TF_CB|NULL|MTN|
CG|MrpAZA|生产料件变更作业|MF_CG|TF_CG|WED10|MNU|MO
CH|DRPCH|积分兑换记录|MF_JFCHG|TF_JFCHG|NULL|DRP|
CI||在制品存货评价|OT_MF_CI|OT_TF_CI|NULL|OTH|
CJ|AccAT|销售收入认列拆分处理|MF_SA_IFRS|TF_SA_IFRS|SAP|ACC|
CK|InvIB|出库单|MF_CK|TF_CK|THB|INV|SA
CL|SgtHB|信用额度修改作业|LC_CLN||CHB|SGT|
CM|MonBR|付款申请作业|TF_MONML|TF_CLSML|UBP|MON|
CN|MonAX|收款申请作业|TF_MONML|TF_CLSML|UAY|MON|
CO|MrpAZC|子件变更分析作业|MF_CG_FX|TF_CG_FX1|WEFC|MRP|MO
CP|MonBC|批次冲销付款|MF_CLS|TF_CLS|UBC|MON|BX
CQ||10号材料未跌价分析|OT_MF_CQ.DB|OT_TF_CQ.DB|NULL|OTH|
CR|MonAC|批次冲销收款|MF_CLS|TF_CLS|UAC|MON|BX
CS|MrpAZ|生产变更作业|MF_CS|TF_CS|WED3|MNU|MO
CT|SgtBA|合同手册备案|CNTT_SGT|MF_PL_SGT|CBA|SGT|
CU|MrpCut|裁板作业|MF_CUT|TF_CUT|WAU|MNU|MO
CV|MrpECV|在制费用对冲单|MF_CV|TF_CV|WEDD|MRP|MO
CW|DrpCW|分销出库任务单|MF_DCW|TF_DCW|NULL|DRP|
CX||材料存货评价分析|OT_MF_CX|OT_TF_CX|NULL|OTH|
CY||成品存货评价分析|OT_MF_CY|OT_TF_CY|NULL|OTH|
CZ|MonAR|传真回款输入|FAX_DATA||UAT|MON|NULL
DA|MrpADA|订单变更分析作业|MF_DA|TF_DA|WAN|MNU|MO
DB|SebAI|设备调拨单|MF_DB_S|TF_DB_S|DBOA|SEB|MO
DC|PosFH|分店调拨单|||NULL|POS|
DD|PosIJ|POS调整单|POSMF_IJ|POSTF_IJ|VIJ|POS|
DE|PosEA|配货计划作业|||VEA|POS|
DF|PosBC|Pos订货单|POSPOS0|POSPOS1|VBC|POS|
DG|MojAP|模具调拨单|MF_DB_M|TF_DB_M|EBPA|MOJ|MO
DH|MonAW|帐款月末调汇作业|MF_TH|TF_TH|UAX|MON|NULL
DI||固定及实际费用差异表|OT_MF_DIFF|OT_TF_DIFF|NULL|OTH|
DJ|DRPDJ|折扣卷|COUPON||||
DK|TaxAA|独立开立发票作业|INV_NO|INV_NO1|ACC|TAX|NULL
DL|WagBJ|员工内部调动输入|MF_YGDL|TF_YGDL|YBJ|WAG|
DM|MrpADY|原料调拨申请单|MF_DS|TF_DS|WEX7|MRP|MO
DO|DRPDO|公文流转单据|MF_DOC|MF_DOC|NULL|DRP|NULL
DP|MonBB|多厂商付款|MF_MON|TF_MON|UBB|MON|BX
DQ|ABC|百货业编码|MF_DP|TF_DP|NULL||NULL
DR|MonAB|多客户收款|MF_MON|TF_MON|UAB|MON|BX
DS|InvDXB|库存调拨申请单|MF_DS|TF_DS|TDDI|INV|MO
DT|MrpBRA|托工折让单|MF_TD|TF_TD|WDN|MRP|MO
DV|AccAV|递延收入回冲处理|MF_SA_IFRS|TF_SA_IFRS|SAS|ACC|
DW|InvCAD|托工原料处理单|MF_DW|TF_DW|WDL|MNU|MO
DY|AccAU|年初递延收入录入作业|MF_DYSR|TF_DYSR|SAR|ACC|
DZ|DRPDZ|动态流程单号|MF_DTLC|TF_DTLC|NULL|DRP|
E1|MonAD|应收款开帐单|MF_EXP|TF_EXP|UAD|MON|NULL
E2|MonBD|应付款开帐单|MF_EXP|TF_EXP|UBD|MON|NULL
EA|INVEA|营销费用申请|MF_ME|TF_ME|TEE|INV|SA
EB|DRPEB|外出单|MF_EG|||WAG|
EC|MrpAI|BOM物料配方更改|MF_ECN|TF_ECN|WTB1|MNU|MO
ED|MrpAIB|订单配方物料更改|MF_ECN|TF_ECN|WTS1|MNU|MO
EE|INVEE|营销费用计算|MF_ME|TF_ME|NULL|INV|SA
EF|MrpEDA|制程品制程规划变更|MF_ECN_ZC|TF_ECN_ZC|WTD3|MNU|MO
EG|MrpEPA|加工顺序调整作业|MF_ECN_PA|TF_ECN_PA|WEFE|MRP|MO
EJ|INVEJ|营销费用调整|MF_ME|TF_ME|NULL|INV|SA
EM|SgtAC|材料BOM表|MF_EBOM_SGT|TF_EBOM_SGT|CAD|SGT|MO
EN|MrpAIA|ECN变更作业|MF_ECN_GX|TF_ECN_GX|WTBC|MNU|MO
EO|MrpAID|ECN变更分析作业|MF_ECN_FX|TF_ECN_FX1|WTBE|MRP|MO
EP|MonExp|其它支出|MF_EXP|TF_EXP|UFB|MON|PC
ER|MonExr|其它收入|MF_EXP|TF_EXP|UFA|MON|SA
ES|MrpAIE|订单配方批次更改|MF_ECN_GX|TF_ECN_GX|WTS2|MNU|MO
ET|FixET|固定资产验收单|MF_TY|TF_TY|XDBA|FIX|PC
F0|FixBA|固定资产停用|MF_FX|TF_FX|XBB|FIX|NULL
F1|FixAA|固定资产增加|MF_FX|TF_FX|XBA|FIX|NULL
F2|FixBA|固定资产修改|MF_FX|TF_FX|XBB|FIX|
F3|FixBA|固定资产折旧|MF_FX|TF_FX|XBB|FIX|
F4|FixBA|固定资产出售|MF_FX|TF_FX|XBB|FIX|
F5|FixBA|固定资产报废|MF_FX|TF_FX|XBB|FIX|
F6|FixBA|固定资产交换|MF_FX|TF_FX|XBB|FIX|
F7|FixBA|固定资产征收|MF_FX|TF_FX|XBB|FIX|
F8|FixBA|计提资产减值准备|MF_FX|TF_FX|XBB|FIX|
F9|FixBA|回冲资产减值准备|MF_FX|TF_FX|XBB|FIX|
FA|InvCAA|放行单|MF_FA|TF_FA|TCP|INV|SA
FB|FixAI|固定资产异动申请单|MF_FB|TF_FB|NULL|FIX|NULL
FC|FasEA|客户厂商资料|CUST||REAA||
FD|MonCC421|批次兑现[付票]|MF_TCHK|TF_TCHK|UCCE|MON|NULL
FE|FasECA|货品基础资料|PRDT||RECA||
FF|InvBO|进货费用分摊作业|MF_FF|TF_FF|TBL|INV|
FG|InvCU|销售费用支出分摊作业|MF_FF|TF_FF|TCU|INV|
FH|InvADE|发货计划单|MF_FHJH|TF_FHJH|TAR|INV|SA
FI|FixAJ|员工请假单批次作业|MF_FI|TF_FI|NULL|FIX|NULL
FJ|WagCFA|各类奖金发放作业|MF_FJ|TF_FJ|YCFA|WAG|
FK|MonDU|员工还款单|MF_FK|TF_FK|UDNA|MON|BX
FL|INV|动态流程单号|MF_DTLC|TF_DTLC|NULL|INV|NULL
FM|FIXCHG|零组件变更作业|MF_FCG|TF_FCG|XBL|FIX|MO
FN|OthZSLG_PD|分切排刀作业|MF_PD_LG|TF_PD_LG1||OTH|MO
FO|WagDPA|股利资料|MF_SHARE1|TF_SHARE1|YDLD|WAG|
FP|InvCMB|销货发票补登作业|MF_BDFP|TF_BDFP|TCGI|INV|
FQ|WagCED|所得税合并计算|MF_FQ|TF_FQ|YCED|WAG|
FR|WagFR|183扣缴凭单|MF_CGB|TF_CGB1|YDLA|WAG|
FS|WagCEC|薪资发放作业|MF_FS||YCEC|WAG|
FT|AccAP|待摊费用分摊作业|MF_FT|TF_FT|SAN|ACC|NULL
FU|FixSP|固定资产拆分作业|MF_FX_CF|TF_FX_CF|XBM|FIX|
FV|FixSP_IFRS|固定资产IFRS拆分作业|MF_FX_CF|TF_FX_CF|XBN|FIX|
FW|InvCAF|售后服务单|MF_SHFW|TF_SHFW|TCYA|INV|SA
FX|FixAA|固定资产维护|MF_FX|TF_FX|XBA|FIX|NULL
FY|InvJF|图纸设计费用单|MF_MAP|TF_MAP|NULL|INV|SA
FZ|FixBB|批次折旧|MF_BD|TF_BD|XBC|FIX|NULL
G1|InvAQC|请购变更|MF_CHG|TF_CHG|TAVA|SOPO|PC
G2|MrpAAA|计划单变更作业|MF_CHG|TF_CHG|WAA4|MNU|MO
G3|FasECAG|基础资料变更作业|MF_CHG|TF_CHG|REWG||PC
GC|AccGCJZ|工程成本结帐切制传|MF_GC|TF_GC|SFC|ACC|NULL
GD|OthMCAE|明彩印刷生产工程单|MF_GD_MC|TF_GD1_MC|OTHAWI|OTH|MO
GF|SgtBDA|深加工结转申请|MF_GF_SGT|TF_GF_SGT|CBEA|SGT|NULL
GI|PosIE|积分调整作业|||VIE|POS|
GJ|PosID|积分兑换作业|||VID|POS|
GK|INVGK|购卡充值|MF_GK||TFCL|INV|
GM|MonCM|应付票据购买作业|MF_GM|TF_GM|UCBA|MON|NULL
GP||批次派工单|MF_SCPG|TF_SCPG|NULL|MNU|MO
GR|OthGSPGB|高树异常派工单|MF_PG_GS|TF_PG_GS|OthBHH|MRP|
GS|OthGSPGA|高树派工单|MF_PG_GS|TF_PG_GS|OthBHG|MRP|
GT|OthGSZZDA|高树制作单|MF_POS_GS|TF_POS_GS|OthBHF|OTH|
GW|DRPGW|DRP出差申请单|MF_GW|TF_GW|NULL|WAG|
HA|OthSh00003|订单评审|MF_PINGSO|MF_PINGSO|OTHCEE|OTH|SA
HC|AccDL|进货逐单回冲|MF_HC|TF_HC|SDJ|ACC|NULL
HF|DRPFYSQ|费用申请单|MF_FYSQ|TF_FYSQ|||
HP|InvHC|采购核价单|MF_HJ|TF_HJ|TJAF|INV|PC
HS|InvHD|售价核价单|MF_HJ|TF_HJ|TJAE|INV|SA
HT|MrpAHJ|托工核价单|MF_HJ|TF_HJ|WTQ|MNU|MO
HX|DRPHX|费用核销单|MF_FYHX|TF_FYHX|||
HY|InvJB|货运执行|CARRY|NULL|NULL|NULL|NULL
HZ|FasCHK60|出货单|MF_CH|TF_CH|NULL|INV|NULL
IB|InvDDB|DRP配送退回单|MF_IC|TF_IC|TDDG|INV|MO
IC|InvDD|存货调拨单|MF_IC|TF_IC|TDDA|INV|MO
ID|InvDX|存货调拨通知单|MF_ID|TF_ID|TDDD|INV|MO
IG|SgtBBA|进口报关单|MF_RG_SGT|TF_RG_SGT|CBCA|SGT|
IJ|InvDE|存货调整单|MF_IJ|TF_IJ|TDEA|INV|MO
IM|InvDDC|DRP客户调货单|MF_IC|TF_IC|TDDH|INV|MO
IO|InvDDA|DRP配送单|MF_IC|TF_IC|TDDF|INV|MO
IP|InvAFC|采购变更作业|MF_BG|TF_BG|TAOA|SOPO|PC
IQ|InvDEA|月末成本调整单|MF_IJ|TF_IJ|TDED|INV|MO
IS|InvADA|受订变更作业|MF_BG|TF_BG|TANA|SOPO|SA
IT||商城订单号|||NULL||
IU|OthAHCA|询价上单|MF_IO|TF_IO|NULL|OTH|PC
IV|DRPIV|客户拜访记录单|CUS_VISIT|||CRM|
IY|CSNIY|项目安装单|MF_IQTY|TF_IQTY|||
IZ|InvIZ|到货确认单|MF_IZ|TF_IZ|NULL|INV|MO
J1|FASECM1|中类代号设置|||NULL||
J2|OthHZYQF|型体加工难度设定|||||
J3|OthHZYQBA|生产绩效任务单——下达|MF_SCJX_HZYQ|TF_SCJX_HZYQ|||
J4|OthHZYQBB|生产绩效任务单——回报|MF_SCJX_HZYQ|TF_SCJX_HZYQ|||
JB|MngBM|加班申请单|MF_JBSQ|TF_JBSQ|ZCCG|MNG|MO
JD|MngBDB|员工请假单登录|MF_VC||ZBDB|MNG|
JF|DRPJF|积分|MF_JF||NULL|INV|
JH|MrpAA|生产计划|MF_JH|TF_JH|WAA1|MNU|MO
JK|MonDT|员工借款单|MF_JK||UDMA|MON|BX
JS|MonDS|员工借款申请单|MF_JS||UDLA|MON|BX
JT|InvFV|配送退回验收单|MF_TY|TF_TY|TFBG|INV|PC
JX|WagCEE|雇主補充保費計算|MF_JX|TF_JX|YCEE||
JY|WagCEF|受雇者補充保費計算|MF_JY|TF_JY|YCEF||
JZ|WagCR|员工借支单|MF_YGJZ|TF_YGJZ|YCSA|WAG|
KB|InvIO|出库退回单|MF_CK|TF_CK|THE|INV|SA
KC|MngCCC|补/特休转薪资|MF_KT|TF_KT|ZCCC|MNG|
KH|MTNKH|客户合约|CUS_PACT|CUS_PACT1|NULL|MTN|
KI|MrpKB|货品单包资料设定|BZZL|BZPZ|||
KJ|MrpKBD|货品多包资料设定|BZZL|BZPD|||
KL|MonCJ|开立票据作业|MF_CHK1|TF_CHK1|UCK|MON|
KM|MonCL|批次开票作业|MF_KP|TF_KP|UCM|MON|NULL
KP|InvCM|补开发票作业[未立帐]|MF_BIL|TF_BIL|TCGA|INV|SA
KS|InvPB|开纱检验单|||NULL|OTH|
KT|MrpFRR|客户投诉输入作业|KHTS_QA||WQNA|MRP|KT
KW|InvCMA|补开发票作业[已立帐]|MF_BIL|TF_BIL|TCGB|INV|SA
L1|InvBZ|进货立帐开票[进货]|MF_LZ1|TF_LZ1|TBFC|INV|
L2|InvBZ|进货立帐开票[借入]|MF_LZ1|TF_LZ1|TBFC|INV|
L3|InvBZ|进货立帐开票[托外]|MF_LZ1|TF_LZ1|TBFC|INV|
L4|InvIC|销货立帐开票[销货]|MF_LZ|TF_LZ|TCGC|INV|
L5|InvIC|销货立帐开票[借出]|MF_LZ|TF_LZ|TCGC|INV|
L6|InvBZ|进货立帐开票[模具]|MF_LZ1|TF_LZ1|TBFC|INV|
LB|InvCE|借出还入|MF_BLN|TF_BLN|TCJ|INV|SA
LC|SgtFA|L/C开帐单作业|MF_LCO|TF_LCO|CIA|SGT|
LD|TRDAH|信用状收状作业|MF_LCO|TF_LCO|NULL|SGT|
LI|InvBZC|进货开票[已立帐]|MF_LZ1|TF_LZ1|TBFD|INV|PC
LL|FasCHK37|实际领料单|MF_SJML|TF_SJML|NULL|INV|NULL
LM|MrpAGB|批次领料作业|MF_LM||WEF8|MRP|MO
LN|InvCD|借出单|MF_BLN|TF_BLN|TCH|INV|SA
LO|InvIK|销货开票[已立帐]|MF_LZ|TF_LZ|TCGD|INV|SA
LP|InvBZ|进货立帐开票|MF_LZ1|TF_LZ1|TBFC|INV|PC
LQ|MrpAGU|批次领料申请单|MF_LQ||WEX8|MRP|MO
LS|MrpFEL|不合格品审理单|MF_LS_QC|TF_LS_QC|WQOCA|MRP|MO
LX|MonA2A|预收(付)款开立发票|MF_LS|TF_LS|UA2A|MON|SA
LY|MonBQA|预付(收)款开立发票|MF_LS|TF_LS|UBQA|MON|SA
LZ|InvIC|销货立帐开票|MF_LZ|TF_LZ|TCGC|INV|SA
M0|MojAIA|模具内修完工入库单|MF_RX_M|TF_RX_M|EBHA|MOJ|MO
M1|MojAD|模具维修计划[内修]|MF_WJ_M|TF_WJ_M|EBBA|MOJ|MO
M2|MrpAGI|生产退料|MF_ML|TF_ML|WEF2|MRP|MO
M3|MrpAGJ|生产补料|MF_ML|TF_ML|WEF3|MRP|MO
M4|MrpAGK|托工领料|MF_ML|TF_ML|WEF4|MRP|MO
M5|MrpAGL|托工退料|MF_ML|TF_ML|WEF5|MRP|MO
M6|MrpAGM|托工补料|MF_ML|TF_ML|WEF6|MRP|MO
MA|MTNMA|外部维修申请|MF_MA|TF_MA|NULL|MTN|MO
MB|MrpBC|组合生产单|MF_MB|TF_MB|WEA1|MRP|MO
MC|MrpAE|原料调拨单|MF_MC|TF_MC|WEF7|MRP|MO
MD|MrpBG|BOM切割分装单|MF_MB|TF_MB|WEB1|MRP|MO
ME|MrpMLPS|模拟评审分析|MF_MLPS|||MRP|
MF|MrpHSA|期初制令单|MF_MO|TF_MO|WETA|MRP|MO
MG|MojAC|模具购入单|MF_GR_M|TF_GR_M|EBAA|MOJ|MO
MH|MojAD|模具维修计划单[委外]|MF_WJ_M|TF_WJ_M|EBBA|MOJ|MO
MI|MojAJ|模具启用单|MF_QY_M|TF_QY_M|EBEA|MOJ|MO
MJ|AccAOA|开帐凭证|VHED|VDTL|SAA|ACC|NULL
MK|AccAB|制票号码|VHED|VDTL|SAB|ACC|NULL
ML|MrpAG|生产领料|MF_ML|TF_ML|WEF1|MRP|MO
MM|MrpAFC|缴库单|MF_MM0|TF_MM0|WEJB|MRP|MO
MN|MrpAD|材料需求单|MF_MN|TF_MN1|WAC|MNU|MO
MO|MrpAC|制令单|MF_MO|TF_MO|WED1|MNU|MO
MP|MrpABA|生产需求分析单|MF_MP|TF_MP1|WAB6|MNU|MO
MQ|MrpFP|检验数据记录单|MF_MQC|TF_MQC|WQD1|MRP|
MR|MojAIB|模具完修单|MF_RX_M|TF_RX_M|EBHB|MOJ|MO
MS|MojAEA|模具停用单|MF_ST_M|TF_ST_M|EBDA|MOJ|MO
MT|MrpAG|退料单|MF_ML|TF_ML|WEF1|MRP|MO
MU|MojAH|模具生产还入单|MF_RSC|TF_RSC|EBGA|MOJ|MO
MV|MrpEM|制程生产转移单|MF_MV||WEE5|MNU|MO
MW|MojAGA|模具维修单[内修]|MF_WX_M|TF_WX_M|EBCA|MOJ|MO
MX|MojAEB|模具报废单|MF_ST_M|MF_ST_M|EBDB|MOJ|MO
MY|MojAF|模具生产领用单|MF_MSC|TF_MSC|EBFA|MOJ|MO
MZ|MojAGB|模具维修单[委外]|MF_WX_M|TF_WX_M|EBCC|MOJ|MO
NL|MrpANL|挪料单|MF_NL|TF_NL|WEFE|MRP|MO
NP|CustPact|合约|CUS_PACT|||CWK|
NQ|OthAA|估价单(印刷业)|MF_NCQ_MC|TF_NCQA_MC|OTHAWA|OTH|SA
NS|DrpSCPO|缺料通知|MF_SCPO|TF_SCPO||INV|
O1|SgtAGI1|销退转进退|MF_ZD|TF_ZD|CFGBO|SGT|
O2|SgtAGJ1|进退转销退|MF_ZD|TF_ZD|CFGBP|SGT|
O3|SgtAGI2|销退转进退再转销退|MF_ZD|TF_ZD|CFGBQ|SGT|
O4|SgtAGJ2|进退转销退再转进退|MF_ZD|TF_ZD|CFGBR|SGT|
OA|WagAKN|计件工资单价表(专案)|MF_JJN|TF_JJN||OTH|
OB|MTNOB|安装完工折让单|MF_MFIN|TF_MFIN|NULL|MTN|
OC|MrpAZD|长周期物料分析作业|MF_OLC|TF_OLC1|WAV|MRP|
OD|MTNOD|安装完工单|MF_MFIN|TF_MFIN|NULL|MTN|MO
OE|WagTYAA|成品制程生产|ZCSC_MF|||OTH|
OF|WagTyAB|制程计件工资核发|ZCJJHF_MF|||OTH|
OG|SgtBCA|出口报关单|MF_RG_SGT|TF_RG_SGT|CBDA|SGT|SA
OI|MTNOI|安装单|MF_MOUT|TF_MOUT|NULL|MTN|MO
OM|INVOM|样品单|MF_FMOD|TF_FMOD||INV|SA
ON|INVON|样品申请单|MF_FNOD|TF_FNOD||INV|SA
OP|DRPOP|配件退回申请单|MF_PJSQ|TF_PJSQ||INV|SA
OR|DRPOR|配件申请单|MF_PJSQ|TF_PJSQ||INV|SA
OT|MTNOT|外派维修单|MF_MOUT|TF_MOUT|NULL|MTN|MO
OW|MTNOW|外派完工单|MF_MFIN|TF_MFIN|NULL|MTN|MO
OY|DRPOY|超预算申请单|MF_DOY|TF_DOY|||
P0|MonCB|应付付票|MF_CHK|TF_CHK|UCB|MON|
P1|MonCB|应付撤票|MF_CHK|TF_CHK|UCB|MON|NULL
P2|MonCB|应付兑现|MF_CHK|TF_CHK|UCB|MON|NULL
P3|MonCB|应付退票|MF_CHK|TF_CHK|UCB|MON|NULL
P4|MonCB|应付注销|MF_CHK|TF_CHK|UCB|MON|NULL
P5|MonCB|应付押票|MF_CHK|TF_CHK|UCB|MON|NULL
P6|MonCO|应付票据作废作业|||UCBE|MON|
P7|MojAM|模具采购单|MF_POS_FX|TF_POS_FX|EBJ|MOJ|MO
P8|SebAP|设备采购单|MF_POS_FX|TF_POS_FX|DAL|SEB|MO
P9|FixAG|固定资产采购单|MF_POS_FX|TF_POS_FX|XBK|FIX|PC
PA|InvTRDEA|Invoice & Packing|MF_PACK|TF_PACK|TGEB|INV|SA
PB|InvBB|进货退回|MF_PSS|TF_PSS|TBB|INV|PC
PC|InvBA|进货单|MF_PSS|TF_PSS|TBA|INV|PC
PD|InvBC|进货折让|MF_PSS|TF_PSS|TBC|INV|PC
PE|ATTN06|问题报告单|MF_PR|TF_PR|NULL|OTH|
PF|InvDW|重复盘点单|MF_PTM|TF_PTM|NULL|INV|NULL
PG|MrpEN|生产派工单|MF_SCPG|TF_SCPG|WEC7|MNU|MO
PH|DrpPH|分销配送单|MF_DPH|TF_DPH|NULL|DRP|SA
PI|InvDB|存货盘点|MF_PT|TF_PT|TDBA|INV|MO
PJ|InvDBA|存货盘点[批号]|MF_PT|TF_PT|TDBB|INV|MO
PK|InvTRDB|包装清单|MF_LIST|TF_LIST|TGB|INV|NULL
PL|InvDZ|国内PACK & INVOICE|MF_IPL|TF_IPL|NULL|INV|SA
PM|MrpAGW|领料申请单批次结案|MF_PM|TF_PM|WEF6|MRP|MO
PN|MonBT|批次汇款冲销作业|MF_CLS_HK|TF_CLS_HK|UBT|MON|NULL
PO|InvAF|采购单|MF_POS|TF_POS|TAJ|SOPO|PC
PP|OTH00311|指令书排程作业|MF_PP|TF_PP|NULL|OTH|NULL
PQ|InvDBF|序列号盘点作业|MF_PT|TF_PT|TDBJ|INV|MO
PR|InvAG|采购退回|MF_POS|TF_POS|TAK|SOPO|PC
PS|PosBA|POS前台开单|||VBA|POS|
PT|MonBA|付款单|TF_MON|TC_MON|UBA|MON|BX
