BIL_ID|MENU_NAME|REM|MF_TABLE|TF_TABLE|TAB_TITLE
AL|MojBN|模具盘点单|MF_MJPT|TF_MJPT|模具盘点表头
AM|MojBL|模具摊销作业|MF_TX_M|TF_TX_M|模具摊销表头库
AN|MojBE|模具异常报告单|MF_MJYCBG|TF_MJYCBG|模具异常报告单表头
AO|INVAO|淘宝退款单|MF_TBAO|TF_TBAO|退款单
AQ|CUST_COMPLAIN|客户投诉单|KHTS_QA||客户投诉资料库
AS|OthDGWD_APS|排产作业(沃德专案)|MF_APS_WD|TF_APS_WD1|NULL
AT|MonCC41|批次托收|MF_TCHK|TF_TCHK|批次票据处理库
AZ|SebBG|设备盘点单|MF_SBPT|TF_SBPT|设备盘点表头
B1|DRPB1|条码打印作业|PRDT_BARCODE||货品条码档（区分特征）
B2|DRPB2|箱条码打印作业|PRDT_BARCODE_BOX||箱条形码库资料表
B3||包装类型设定(兆吉)|BZZL|BZPZ|包装资料
B4|OthHZYQBC|制作说明书|MF_BOOK_HZYQ|TF_BOOK_HZYQ|NULL
BA|PRJBA|项目变更单|M_BA|TF_BA|NULL
BB|InvBE|借入还出|MF_BLN|TF_BLN|借进/还出/借出/还进表头档
BC|MONBC|客户储值变动单|MF_CBAC|TF_CBAC|客户账户变动主库
BD|FixBB|批次折旧|MF_BD|TF_BD|批次折旧单表头档
BE|MonDCC|帐户调拨申请单|MF_BDS|TF_BDS|帐户调拨申请表头库
BF|InvABH|报价分析单|MF_BJFX_ZS|TF_BJFX_ZS|报价分析单表头库
BG|SgtBF|合同变更|CNTT_CHG_SGT|MF_PL_CHG_SGT|合同基本情况变更表
BH|DrpBH|分销备货单|MF_DBH|TF_DBH|NULL
BJ|MrpACF|批次制令单|MF_BJ||批次制令单(BJ)
BL|MrpAFD|副产品补录单|MF_BL_FCP|TF_BL_FCP|副产品补录表头库
BM|MonDCB|帐户调拨|MF_BAC|TF_BAC|帐户变动主库
BN|InvBD|借入单|MF_BLN|TF_BLN|借进/还出/借出/还进表头档
BP|InvBMA|补收发票作业[已立帐]|MF_BIL|TF_BIL|特别单据表头档
BQ|DRPBQ|箱条码打印-子项管理|PRDT_BARCODE_BOX|PRDT_BARBOX_SUB|箱条形码库资料表
BR|InvKBB|序列号变更单|MF_BAR|TF_BAR|序列号变更库
BS|MrpAX|订单配方|MF_BOM_SO|TF_BOM_SO|订单配方表头档
BT|MonDCA|帐户收支|MF_BAC|TF_BAC|帐户变动主库
BV|WagAT|保險調整計算作業|MF_JB_CALC|TF_JB_CALC|保险调整计算作业表头
BW|InvBM|补收发票作业[未立帐]|MF_BIL|TF_BIL|特别单据表头档
BX|MonDA|报销单|MF_BX|TF_BX|报销单表头库
BZ|MrpKC|装箱单|MF_BZ|TF_BZ|装箱单表头档
C1|AccDA_IFRS|销货成本切制传票(IFRS)|MF_CB|TF_CB|销货成本表头
C2|MrpCutB|钢材板裁切作业|MF_GCB|TF_GCB|NULL
C5|SYSPRST|促销单|PROMO|PROMO1|促销商品规则设定
C6|SYSPRST|促销设定|PROMO|PROMO1|促销商品规则设定
CA|WagBOA|辞/离职申请单|MF_CZSQ|TF_CZSQ|辞/离职申请单表头库
CB|AccDA|销货成本切制传票|MF_CB|TF_CB|销货成本表头
CD||办公物品领用|MF_GUIDE|TF_GUIDE|领用光碟表头库
CF|MTNCF|维修成本切制|MF_CB|TF_CB|销货成本表头
CG|MrpAZA|生产料件变更作业|MF_CG|TF_CG|料件变更作业表头
CH|DRPCH|积分兑换记录|MF_JFCHG|TF_JFCHG|兑换记录表头
CI||在制品存货评价|OT_MF_CI|OT_TF_CI|NULL
CJ|AccAT|销售收入认列拆分处理|MF_SA_IFRS|TF_SA_IFRS|销售收入拆分表头库
CK|InvIB|出库单|MF_CK|TF_CK|出库单表头资料
CL|SgtHB|信用额度修改作业|LC_CLN||银行额度修改库
CM|MonBR|付款申请作业|TF_MONML|TF_CLSML|申请单表头库
CN|MonAX|收款申请作业|TF_MONML|TF_CLSML|申请单表头库
CO|MrpAZC|子件变更分析作业|MF_CG_FX|TF_CG_FX1|子件变更分析作业表头档
CP|MonBC|批次冲销付款|MF_CLS|TF_CLS|批次冲销主库
CQ||10号材料未跌价分析|OT_MF_CQ|OT_TF_CQ|NULL
CR|MonAC|批次冲销收款|MF_CLS|TF_CLS|批次冲销主库
CS|MrpAZ|生产变更作业|MF_CS|TF_CS|生产变更单主库
CT|SgtBA|合同手册备案|CNTT_SGT|MF_PL_SGT|合同备案库
CU|MrpCut|裁板作业|MF_CUT|TF_CUT|裁板表头
CV|MrpECV|在制费用对冲单|MF_CV|TF_CV|在制费用对冲单表头
CW|DrpCW|分销出库任务单|MF_DCW|TF_DCW|NULL
CX||材料存货评价分析|OT_MF_CX|OT_TF_CX|NULL
CY||成品存货评价分析|OT_MF_CY|OT_TF_CY|NULL
CZ|MonAR|传真回款输入|FAX_DATA||传真回款资料库
DA|MrpADA|订单变更分析作业|MF_DA|TF_DA|订单变更分析表头档
DB|SebAI|设备调拨单|MF_DB_S|TF_DB_S|设备调拨单表头资料库
DD|PosIJ|POS调整单|POSMF_IJ|POSTF_IJ|POS调整单表头档
DF|PosBC|Pos订货单|POSPOS0|POSPOS1|订货单表头
DG|MojAP|模具调拨单|MF_DB_M|TF_DB_M|模具调拨表头资料库
DH|MonAW|帐款月末调汇作业|MF_TH|TF_TH|应收/付款月末调汇表头资料库
DI||固定及实际费用差异表|OT_MF_DIFF|OT_TF_DIFF|NULL
DJ|DRPDJ|折扣卷|COUPON||NULL
DK|TaxAA|独立开立发票作业|INV_NO|INV_NO1|发票库
DL|WagBJ|员工内部调动输入|MF_YGDL|TF_YGDL|员工调动主档
DM|MrpADY|原料调拨申请单|MF_DS|TF_DS|库存调拨申请单
DO|DRPDO|公文流转单据|MF_DOC|MF_DOC|公文库表头
DP|MonBB|多厂商付款|MF_MON|TF_MON|收付款主库
DQ|ABC|百货业编码|MF_DP|TF_DP|NULL
DR|MonAB|多客户收款|MF_MON|TF_MON|收付款主库
DS|InvDXB|库存调拨申请单|MF_DS|TF_DS|库存调拨申请单
DT|MrpBRA|托工折让单|MF_TD|TF_TD|托外折让单表头
DV|AccAV|递延收入回冲处理|MF_SA_IFRS|TF_SA_IFRS|销售收入拆分表头库
DW|InvCAD|托工原料处理单|MF_DW|TF_DW|托工原料处理单表头
DY|AccAU|年初递延收入录入作业|MF_DYSR|TF_DYSR|年初递延收入表头档
DZ|DRPDZ|动态流程单号|MF_DTLC|TF_DTLC|动态审核流程主库
E1|MonAD|应收款开帐单|MF_EXP|TF_EXP|费用主库
E2|MonBD|应付款开帐单|MF_EXP|TF_EXP|费用主库
EA|INVEA|营销费用申请|MF_ME|TF_ME|营销费用单表头
EB|DRPEB|外出单|MF_EG||外出假单作业
EC|MrpAI|BOM物料配方更改|MF_ECN|TF_ECN|工程变更表
ED|MrpAIB|订单配方物料更改|MF_ECN|TF_ECN|工程变更表
EE|INVEE|营销费用计算|MF_ME|TF_ME|营销费用单表头
EF|MrpEDA|制程品制程规划变更|MF_ECN_ZC|TF_ECN_ZC|制程规划变更表头资料库
EG|MrpEPA|加工顺序调整作业|MF_ECN_PA|TF_ECN_PA|调整加工顺序表头资料库
EJ|INVEJ|营销费用调整|MF_ME|TF_ME|营销费用单表头
EM|SgtAC|材料BOM表|MF_EBOM_SGT|TF_EBOM_SGT|材料BOM表表头
EN|MrpAIA|ECN变更作业|MF_ECN_GX|TF_ECN_GX|ECN变更表头资料库
EO|MrpAID|ECN变更分析作业|MF_ECN_FX|TF_ECN_FX1|ECN变更分析作业表头档
EP|MonExp|其它支出|MF_EXP|TF_EXP|费用主库
ER|MonExr|其它收入|MF_EXP|TF_EXP|费用主库
ES|MrpAIE|订单配方批次更改|MF_ECN_GX|TF_ECN_GX|ECN变更表头资料库
ET|FixET|固定资产验收单|MF_TY|TF_TY|验收单表头
F0|FixBA|固定资产停用|MF_FX|TF_FX|固定资产表头档
F1|FixAA|固定资产增加|MF_FX|TF_FX|固定资产表头档
F2|FixBA|固定资产修改|MF_FX|TF_FX|固定资产表头档
F3|FixBA|固定资产折旧|MF_FX|TF_FX|固定资产表头档
F4|FixBA|固定资产出售|MF_FX|TF_FX|固定资产表头档
F5|FixBA|固定资产报废|MF_FX|TF_FX|固定资产表头档
F6|FixBA|固定资产交换|MF_FX|TF_FX|固定资产表头档
F7|FixBA|固定资产征收|MF_FX|TF_FX|固定资产表头档
F8|FixBA|计提资产减值准备|MF_FX|TF_FX|固定资产表头档
F9|FixBA|回冲资产减值准备|MF_FX|TF_FX|固定资产表头档
FA|InvCAA|放行单|MF_FA|TF_FA|放行单表头资料库
FB|FixAI|固定资产异动申请单|MF_FB|TF_FB|固定资产异动申请表头资料库
FC|FasEA|客户厂商资料|CUST||客户/厂商库
FD|MonCC421|批次兑现[付票]|MF_TCHK|TF_TCHK|批次票据处理库
FE|FasECA|货品基础资料|PRDT||货品基础资料库
FF|InvBO|进货费用分摊作业|MF_FF|TF_FF|进货费用分摊表头库
FG|InvCU|销售费用支出分摊作业|MF_FF|TF_FF|进货费用分摊表头库
FH|InvADE|发货计划单|MF_FHJH|TF_FHJH|发货计划表头档
FI|FixAJ|员工请假单批次作业|MF_FI|TF_FI|员工请假单批次作业表头资料库
FJ|WagCFA|各类奖金发放作业|MF_FJ|TF_FJ|奖金发放表身
FK|MonDU|员工还款单|MF_FK|TF_FK|员工还款表头资料库
FL|INV|动态流程单号|MF_DTLC|TF_DTLC|动态审核流程主库
FM|FIXCHG|零组件变更作业|MF_FCG|TF_FCG|固定资产组件变更作业表头
FN|OthZSLG_PD|分切排刀作业|MF_PD_LG|TF_PD_LG1|NULL
FO|WagDPA|股利资料|MF_SHARE1|TF_SHARE1|股利分配表头档
FP|InvCMB|销货发票补登作业|MF_BDFP|TF_BDFP|销货发票补登作业表头档
FQ|WagCED|所得税合并计算|MF_FQ|TF_FQ|所得税计算表头
FR|WagFR|183扣缴凭单|MF_CGB|TF_CGB1|未满183扣缴凭单表头档
FS|WagCEC|薪资发放作业|MF_FS||薪资发放表头档
FT|AccAP|待摊费用分摊作业|MF_FT|TF_FT|待摊费用自动分摊表头库
FU|FixSP|固定资产拆分作业|MF_FX_CF|TF_FX_CF|固定资产拆分表头库
FV|FixSP_IFRS|固定资产IFRS拆分作业|MF_FX_CF|TF_FX_CF|固定资产拆分表头库
FW|InvCAF|售后服务单|MF_SHFW|TF_SHFW|售后服务单表头库
FX|FixAA|固定资产维护|MF_FX|TF_FX|固定资产表头档
FY|InvJF|图纸设计费用单|MF_MAP|TF_MAP|图纸设计费用表头档
FZ|FixBB|批次折旧|MF_BD|TF_BD|批次折旧单表头档
G1|InvAQC|请购变更|MF_CHG|TF_CHG|单据变更表头库
G2|MrpAAA|计划单变更作业|MF_CHG|TF_CHG|单据变更表头库
G3|FasECAG|基础资料变更作业|MF_CHG|TF_CHG|单据变更表头库
GC|AccGCJZ|工程成本结帐切制传|MF_GC|TF_GC|工程成本结帐切制传票表头档
GD|OthMCAE|明彩印刷生产工程单|MF_GD_MC|TF_GD1_MC|明彩生产工单表头(印刷行业)
GF|SgtBDA|深加工结转申请|MF_GF_SGT|TF_GF_SGT|关封表头库
GK|INVGK|购卡充值|MF_GK||购卡充值
GM|MonCM|应付票据购买作业|MF_GM|TF_GM|应付票据购买表头档
GP||批次派工单|MF_SCPG|TF_SCPG|生产派工单表头
GR|OthGSPGB|高树异常派工单|MF_PG_GS|TF_PG_GS|高树生产/异常派工单表头
GS|OthGSPGA|高树派工单|MF_PG_GS|TF_PG_GS|高树生产/异常派工单表头
GT|OthGSZZDA|高树制作单|MF_POS_GS|TF_POS_GS|高树制作单主表
GW|DRPGW|DRP出差申请单|MF_GW|TF_GW|出差申请单
HA|OthSh00003|订单评审|MF_PINGSO|MF_PINGSO|NULL
HC|AccDL|进货逐单回冲|MF_HC|TF_HC|进货逐单回冲表头库
HF|DRPFYSQ|费用申请单|MF_FYSQ|TF_FYSQ|NULL
HP|InvHC|采购核价单|MF_HJ|TF_HJ|核价单表头资料库
HS|InvHD|售价核价单|MF_HJ|TF_HJ|核价单表头资料库
HT|MrpAHJ|托工核价单|MF_HJ|TF_HJ|核价单表头资料库
HX|DRPHX|费用核销单|MF_FYHX|TF_FYHX|NULL
HY|InvJB|货运执行|CARRY||货运执行表
HZ|FasCHK60|出货单|MF_CH|TF_CH|出货单表头
IB|InvDDB|DRP配送退回单|MF_IC|TF_IC|调拨主库
IC|InvDD|存货调拨单|MF_IC|TF_IC|调拨主库
ID|InvDX|存货调拨通知单|MF_ID|TF_ID|调拨通知主库 
IG|SgtBBA|进口报关单|MF_RG_SGT|TF_RG_SGT|报关单表头库
IJ|InvDE|存货调整单|MF_IJ|TF_IJ|调整主库
IM|InvDDC|DRP客户调货单|MF_IC|TF_IC|调拨主库
IO|InvDDA|DRP配送单|MF_IC|TF_IC|调拨主库
IP|InvAFC|采购变更作业|MF_BG|TF_BG|采购/受订变更作业表头库
IQ|InvDEA|月末成本调整单|MF_IJ|TF_IJ|调整主库
IS|InvADA|受订变更作业|MF_BG|TF_BG|采购/受订变更作业表头库
IU|OthAHCA|询价上单|MF_IO|TF_IO|询价上单表头
IV|DRPIV|客户拜访记录单|CUS_VISIT||客户拜访记录
IY|CSNIY|项目安装单|MF_IQTY|TF_IQTY|项目安装库
IZ|InvIZ|到货确认单|MF_IZ|TF_IZ|到货确认表头
J3|OthHZYQBA|生产绩效任务单——下达|MF_SCJX_HZYQ|TF_SCJX_HZYQ|NULL
J4|OthHZYQBB|生产绩效任务单——回报|MF_SCJX_HZYQ|TF_SCJX_HZYQ|NULL
JB|MngBM|加班申请单|MF_JBSQ|TF_JBSQ|加班申请单表头库
JD|MngBDB|员工请假单登录|MF_VC||假单登录表头档
JF|DRPJF|积分|MF_JF||积分主库
JH|MrpAA|生产计划|MF_JH|TF_JH|生产计划单表头档
JK|MonDT|员工借款单|MF_JK||员工借款资料库
JS|MonDS|员工借款申请单|MF_JS||员工借款申请资料库
JT|InvFV|配送退回验收单|MF_TY|TF_TY|验收单表头
JX|WagCEE|雇主補充保費計算|MF_JX|TF_JX|雇主补充保费计算表头
JY|WagCEF|受雇者補充保費計算|MF_JY|TF_JY|受雇者补充保费计算表头
JZ|WagCR|员工借支单|MF_YGJZ|TF_YGJZ|员工借支单表头资料库
KB|InvIO|出库退回单|MF_CK|TF_CK|出库单表头资料
KC|MngCCC|补/特休转薪资|MF_KT|TF_KT|补休/特休转薪资主档
KH|MTNKH|客户合约|CUS_PACT|CUS_PACT1|客户合约库
KI|MrpKB|货品单包资料设定|BZZL|BZPZ|包装资料
KJ|MrpKBD|货品多包资料设定|BZZL|BZPD|包装资料
KL|MonCJ|开立票据作业|MF_CHK1|TF_CHK1|开立票据作业表头资料
KM|MonCL|批次开票作业|MF_KP|TF_KP|批次开票作业表头档
KP|InvCM|补开发票作业[未立帐]|MF_BIL|TF_BIL|特别单据表头档
KT|MrpFRR|客户投诉输入作业|KHTS_QA||客户投诉资料库
KW|InvCMA|补开发票作业[已立帐]|MF_BIL|TF_BIL|特别单据表头档
L1|InvBZ|进货立帐开票[进货]|MF_LZ1|TF_LZ1|进货收票立帐表头资料库
L2|InvBZ|进货立帐开票[借入]|MF_LZ1|TF_LZ1|进货收票立帐表头资料库
L3|InvBZ|进货立帐开票[托外]|MF_LZ1|TF_LZ1|进货收票立帐表头资料库
L4|InvIC|销货立帐开票[销货]|MF_LZ|TF_LZ|销货开票立帐表头资料库
L5|InvIC|销货立帐开票[借出]|MF_LZ|TF_LZ|销货开票立帐表头资料库
L6|InvBZ|进货立帐开票[模具]|MF_LZ1|TF_LZ1|进货收票立帐表头资料库
LB|InvCE|借出还入|MF_BLN|TF_BLN|借进/还出/借出/还进表头档
LC|SgtFA|L/C开帐单作业|MF_LCO|TF_LCO|信用状开状表头库
LD|TRDAH|信用状收状作业|MF_LCO|TF_LCO|信用状开状表头库
LI|InvBZC|进货开票[已立帐]|MF_LZ1|TF_LZ1|进货收票立帐表头资料库
LL|FasCHK37|实际领料单|MF_SJML|TF_SJML|实际领料单表头库(三力士)
LM|MrpAGB|批次领料作业|MF_LM||批次领料作业档
LN|InvCD|借出单|MF_BLN|TF_BLN|借进/还出/借出/还进表头档
LO|InvIK|销货开票[已立帐]|MF_LZ|TF_LZ|销货开票立帐表头资料库
LP|InvBZ|进货立帐开票|MF_LZ1|TF_LZ1|进货收票立帐表头资料库
LQ|MrpAGU|批次领料申请单|MF_LQ||批次领料申请作业档
LS|MrpFEL|不合格品审理单|MF_LS_QC|TF_LS_QC|不合格品审理单表头库
LX|MonA2A|预收(付)款开立发票|MF_LS|TF_LS|预收付款开票表头库
LY|MonBQA|预付(收)款开立发票|MF_LS|TF_LS|预收付款开票表头库
LZ|InvIC|销货立帐开票|MF_LZ|TF_LZ|销货开票立帐表头资料库
M0|MojAIA|模具内修完工入库单|MF_RX_M|TF_RX_M|模具完修单表头
M1|MojAD|模具维修计划[内修]|MF_WJ_M|TF_WJ_M|模具维修计划单表头
M2|MrpAGI|生产退料|MF_ML|TF_ML|领料单表头档
M3|MrpAGJ|生产补料|MF_ML|TF_ML|领料单表头档
M4|MrpAGK|托工领料|MF_ML|TF_ML|领料单表头档
M5|MrpAGL|托工退料|MF_ML|TF_ML|领料单表头档
M6|MrpAGM|托工补料|MF_ML|TF_ML|领料单表头档
MA|MTNMA|外部维修申请|MF_MA|TF_MA|维修申请表头
MB|MrpBC|组合生产单|MF_MB|TF_MB|Mrp组合生产/切割分装表头档
MC|MrpAE|原料调拨单|MF_MC|TF_MC|原料调拨单表头档
MD|MrpBG|BOM切割分装单|MF_MB|TF_MB|Mrp组合生产/切割分装表头档
ME|MrpMLPS|模拟评审分析|MF_MLPS||订单模拟评审表头档
MF|MrpHSA|期初制令单|MF_MO|TF_MO|Mrp制令单表头档
MG|MojAC|模具购入单|MF_GR_M|TF_GR_M|模具购入单表头
MH|MojAD|模具维修计划单[委外]|MF_WJ_M|TF_WJ_M|模具维修计划单表头
MI|MojAJ|模具启用单|MF_QY_M|TF_QY_M|模具启用单表头
MJ|AccAOA|开帐凭证|VHED|VDTL|传票主库
MK|AccAB|制票号码|VHED|VDTL|传票主库
ML|MrpAG|生产领料|MF_ML|TF_ML|领料单表头档
MM|MrpAFC|缴库单|MF_MM0|TF_MM0|缴库单表头
MN|MrpAD|材料需求单|MF_MN|TF_MN1|材料需求单表头档
MO|MrpAC|制令单|MF_MO|TF_MO|Mrp制令单表头档
MP|MrpABA|生产需求分析单|MF_MP|TF_MP1|生产需求/计划分析表头档
MQ|MrpFP|检验数据记录单|MF_MQC|TF_MQC|测量值记录单表头
MR|MojAIB|模具完修单|MF_RX_M|TF_RX_M|模具完修单表头
MS|MojAEA|模具停用单|MF_ST_M|TF_ST_M|模具停用/报废单表头
MT|MrpAG|退料单|MF_ML|TF_ML|领料单表头档
MU|MojAH|模具生产还入单|MF_RSC|TF_RSC|模具生产还入单
MV|MrpEM|制程生产转移单|MF_MV||制程转移单表头
MW|MojAGA|模具维修单[内修]|MF_WX_M|TF_WX_M|模具维修单表头
MX|MojAEB|模具报废单|MF_ST_M|MF_ST_M|模具停用/报废单表头
MY|MojAF|模具生产领用单|MF_MSC|TF_MSC|模具生产领用单表头
MZ|MojAGB|模具维修单[委外]|MF_WX_M|TF_WX_M|模具维修单表头
NL|MrpANL|挪料单|MF_NL|TF_NL|挪料单表头档
NP|CustPact|合约|CUS_PACT||客户合约库
NQ|OthAA|估价单(印刷业)|MF_NCQ_MC|TF_NCQA_MC|估价单表头(印刷行业)
NS|DrpSCPO|缺料通知|MF_SCPO|TF_SCPO|缺料表表头档
O1|SgtAGI1|销退转进退|MF_ZD|TF_ZD|三角贸易转单作业表头档
O2|SgtAGJ1|进退转销退|MF_ZD|TF_ZD|三角贸易转单作业表头档
O3|SgtAGI2|销退转进退再转销退|MF_ZD|TF_ZD|三角贸易转单作业表头档
O4|SgtAGJ2|进退转销退再转进退|MF_ZD|TF_ZD|三角贸易转单作业表头档
OA|WagAKN|计件工资单价表(专案)|MF_JJN|TF_JJN|新的计件工资单价表头
OB|MTNOB|安装完工折让单|MF_MFIN|TF_MFIN|外修/安装完工单
OC|MrpAZD|长周期物料分析作业|MF_OLC|TF_OLC1|订单长周期物料分析表头档
OD|MTNOD|安装完工单|MF_MFIN|TF_MFIN|外修/安装完工单
OE|WagTYAA|成品制程生产|ZCSC_MF||成品制程生产主表
OF|WagTyAB|制程计件工资核发|ZCJJHF_MF||制程计件工资核发表头
OG|SgtBCA|出口报关单|MF_RG_SGT|TF_RG_SGT|报关单表头库
OI|MTNOI|安装单|MF_MOUT|TF_MOUT|外修/安装维单
OM|INVOM|样品单|MF_FMOD|TF_FMOD|样品单表头
ON|INVON|样品申请单|MF_FNOD|TF_FNOD|样品申请单表头
OP|DRPOP|配件退回申请单|MF_PJSQ|TF_PJSQ|配件申请单表头
OR|DRPOR|配件申请单|MF_PJSQ|TF_PJSQ|配件申请单表头
OT|MTNOT|外派维修单|MF_MOUT|TF_MOUT|外修/安装维单
OW|MTNOW|外派完工单|MF_MFIN|TF_MFIN|外修/安装完工单
OY|DRPOY|超预算申请单|MF_DOY|TF_DOY|NULL
P0|MonCB|应付付票|MF_CHK|TF_CHK|应收付票据主库
P1|MonCB|应付撤票|MF_CHK|TF_CHK|应收付票据主库
P2|MonCB|应付兑现|MF_CHK|TF_CHK|应收付票据主库
P3|MonCB|应付退票|MF_CHK|TF_CHK|应收付票据主库
P4|MonCB|应付注销|MF_CHK|TF_CHK|应收付票据主库
P5|MonCB|应付押票|MF_CHK|TF_CHK|应收付票据主库
P7|MojAM|模具采购单|MF_POS_FX|TF_POS_FX|资产/设备/模具采购单表头资料库
P8|SebAP|设备采购单|MF_POS_FX|TF_POS_FX|资产/设备/模具采购单表头资料库
P9|FixAG|固定资产采购单|MF_POS_FX|TF_POS_FX|资产/设备/模具采购单表头资料库
PA|InvTRDEA|Invoice & Packing|MF_PACK|TF_PACK|Invoice & Packing List  表头档
PB|InvBB|进货退回|MF_PSS|TF_PSS|进销货表头档
PC|InvBA|进货单|MF_PSS|TF_PSS|进销货表头档
PD|InvBC|进货折让|MF_PSS|TF_PSS|进销货表头档
PE|ATTN06|问题报告单|MF_PR|TF_PR|问题报告单表头
PF|InvDW|重复盘点单|MF_PTM|TF_PTM|NULL
PG|MrpEN|生产派工单|MF_SCPG|TF_SCPG|生产派工单表头
PH|DrpPH|分销配送单|MF_DPH|TF_DPH|NULL
PI|InvDB|存货盘点|MF_PT|TF_PT|盘点主库
PJ|InvDBA|存货盘点[批号]|MF_PT|TF_PT|盘点主库
PK|InvTRDB|包装清单|MF_LIST|TF_LIST|包装清单表头库
PL|InvDZ|国内PACK & INVOICE|MF_IPL|TF_IPL|国内INVOICE & PACK 表头
PM|MrpAGW|领料申请单批次结案|MF_PM|TF_PM|申请单批次结案表头资料库
PN|MonBT|批次汇款冲销作业|MF_CLS_HK|TF_CLS_HK|批次汇款冲销作业表头资料库
PO|InvAF|采购单|MF_POS|TF_POS|采购受订表头档
PP|OTH00311|指令书排程作业|MF_PP|TF_PP|指令书排程作业
PQ|InvDBF|序列号盘点作业|MF_PT|TF_PT|盘点主库
PR|InvAG|采购退回|MF_POS|TF_POS|采购受订表头档
PT|MonBA|付款单|TF_MON|TC_MON|收付款冲帐库
PU|MonBZA|应付帐款冻结作业|MF_DJ|TF_DJ|应付帐款冻结表头库
PV|MonBZB|应付帐款取消冻结作业|MF_DJ|TF_DJ|应付帐款冻结表头库
PW|InvDY|国外INVOICE PackList|MF_IPW|TF_IPW|国内INVOICE & PACK 表头 
PX|InvCRB|产品配销发货作业|MF_PX|TF_PX|产品配销表头档
PY|InvIKA|批次开票作业[已立帐]|MF_PCLZ|TF_PCLZ|批次立帐开票表头档
PZ|InvICA|批次立帐开票作业|MF_PCLZ|TF_PCLZ|批次立帐开票表头档
Q2|MrpAGP|生产退料申请单|MF_QL|TF_QL|领补退料申请单表头档
Q3|MrpAGQ|生产补料申请单|MF_QL|TF_QL|领补退料申请单表头档
Q4|MrpAGR|托工领料申请单|MF_QL|TF_QL|领补退料申请单表头档
Q5|MrpAGS|托工退料申请单|MF_QL|TF_QL|领补退料申请单表头档
Q6|MrpAGT|托工补料申请单|MF_QL|TF_QL|领补退料申请单表头档
QA|CRMQA|客户问题处理|MF_QA|TF_QA|客户问题处理库
QB|InvABD|客户询价单|MF_QTS|TF_QTS|询价/报价表头档
QC|InvAB|报价单|MF_QTS|TF_QTS|询价/报价表头档
QD|OthAB|报价单(印刷业)|MF_NCQ_QT|TF_NCQ_QT1|报价单表头(印刷行业)
QE|OthAC|受订单(印刷业)|MF_NCQ_SO|TF_NCQ_SO|受订单表头(印刷行业)
QF|MrpBY|齐套分析|MF_QTFX|TF_QTFX|齐套分析表头库
QG|InvAQD|请购汇总单|MF_QGHZ|TF_QGHZ|请购汇总表头
QH|InvFT|存货检验单|MF_QC|TF_QC|检验单表头档
QI|OthMCAD|中文订单(印刷业)|MF_ZD_MC|TF_ZDLJ_MC|中文订单表头库
QJ|FixQJ|固定资产检验单|MF_QC|TF_QC|检验单表头档
QK|InvFS|出货检验单|MF_QC|TF_QC|检验单表头档
QL|MrpAGO|生产领料申请单|MF_QL|TF_QL|领补退料申请单表头档
QM|MrpFM|制成品检验单|MF_QC|TF_QC|检验单表头档
